"","FAMILYID","PRE_PARENT_HIPIC_1","PRE_PARENT_HIPIC_2","PRE_PARENT_HIPIC_3","PRE_PARENT_HIPIC_4","PRE_PARENT_HIPIC_5","PRE_PARENT_HIPIC_6","PRE_PARENT_HIPIC_7","PRE_PARENT_HIPIC_8","PRE_PARENT_HIPIC_9","PRE_PARENT_HIPIC_10","PRE_PARENT_HIPIC_11","PRE_PARENT_HIPIC_12","PRE_PARENT_HIPIC_13","PRE_PARENT_HIPIC_14","PRE_PARENT_HIPIC_15","PRE_PARENT_HIPIC_16","PRE_PARENT_HIPIC_17","PRE_PARENT_HIPIC_18","PRE_PARENT_HIPIC_19","PRE_PARENT_HIPIC_20","PRE_PARENT_HIPIC_21","PRE_PARENT_HIPIC_22","PRE_PARENT_HIPIC_23","PRE_PARENT_HIPIC_24","PRE_PARENT_HIPIC_25","PRE_PARENT_HIPIC_26","PRE_PARENT_HIPIC_27","PRE_PARENT_HIPIC_28","PRE_PARENT_HIPIC_29","PRE_PARENT_HIPIC_30","PRE_PARENT_HIPIC_31","PRE_PARENT_HIPIC_32","PRE_PARENT_HIPIC_33","PRE_PARENT_HIPIC_34","PRE_PARENT_HIPIC_35","PRE_PARENT_HIPIC_36","PRE_PARENT_HIPIC_37","PRE_PARENT_HIPIC_38","PRE_PARENT_HIPIC_39","PRE_PARENT_HIPIC_40","PRE_PARENT_HIPIC_41","PRE_PARENT_HIPIC_42","PRE_PARENT_HIPIC_43","PRE_PARENT_HIPIC_44","PRE_PARENT_HIPIC_45","PRE_PARENT_HIPIC_46","PRE_PARENT_HIPIC_47","PRE_PARENT_HIPIC_48","PRE_PARENT_HIPIC_49","PRE_PARENT_HIPIC_50","PRE_PARENT_HIPIC_51","PRE_PARENT_HIPIC_52","PRE_PARENT_HIPIC_53","PRE_PARENT_HIPIC_54","PRE_PARENT_HIPIC_55","PRE_PARENT_HIPIC_56","PRE_PARENT_HIPIC_57","PRE_PARENT_HIPIC_58","PRE_PARENT_HIPIC_59","PRE_PARENT_HIPIC_60","PRE_PARENT_HIPIC_61","PRE_PARENT_HIPIC_62","PRE_PARENT_HIPIC_63","PRE_PARENT_HIPIC_64","PRE_PARENT_HIPIC_65","PRE_PARENT_HIPIC_66","PRE_PARENT_HIPIC_67","PRE_PARENT_HIPIC_68","PRE_PARENT_HIPIC_69","PRE_PARENT_HIPIC_70","PRE_PARENT_HIPIC_71","PRE_PARENT_HIPIC_72","PRE_PARENT_HIPIC_73","PRE_PARENT_HIPIC_74","PRE_PARENT_HIPIC_75","PRE_PARENT_HIPIC_76","PRE_PARENT_HIPIC_77","PRE_PARENT_HIPIC_78","PRE_PARENT_HIPIC_79","PRE_PARENT_HIPIC_80","PRE_PARENT_HIPIC_81","PRE_PARENT_HIPIC_82","PRE_PARENT_HIPIC_83","PRE_PARENT_HIPIC_84","PRE_PARENT_HIPIC_85","PRE_PARENT_HIPIC_86","PRE_PARENT_HIPIC_87","PRE_PARENT_HIPIC_88","PRE_PARENT_HIPIC_89","PRE_PARENT_HIPIC_90","PRE_PARENT_HIPIC_91","PRE_PARENT_HIPIC_92","PRE_PARENT_HIPIC_93","PRE_PARENT_HIPIC_94","PRE_PARENT_HIPIC_95","PRE_PARENT_HIPIC_96","PRE_PARENT_HIPIC_97","PRE_PARENT_HIPIC_98","PRE_PARENT_HIPIC_99","PRE_PARENT_HIPIC_100","PRE_PARENT_HIPIC_101","PRE_PARENT_HIPIC_102","PRE_PARENT_HIPIC_103","PRE_PARENT_HIPIC_104","PRE_PARENT_HIPIC_105","PRE_PARENT_HIPIC_106","PRE_PARENT_HIPIC_107","PRE_PARENT_HIPIC_108","PRE_PARENT_HIPIC_109","PRE_PARENT_HIPIC_110","PRE_PARENT_HIPIC_111","PRE_PARENT_HIPIC_112","PRE_PARENT_HIPIC_113","PRE_PARENT_HIPIC_114","PRE_PARENT_HIPIC_115","PRE_PARENT_HIPIC_116","PRE_PARENT_HIPIC_117","PRE_PARENT_HIPIC_118","PRE_PARENT_HIPIC_119","PRE_PARENT_HIPIC_120","PRE_PARENT_HIPIC_121","PRE_PARENT_HIPIC_122","PRE_PARENT_HIPIC_123","PRE_PARENT_HIPIC_124","PRE_PARENT_HIPIC_125","PRE_PARENT_HIPIC_126","PRE_PARENT_HIPIC_127","PRE_PARENT_HIPIC_128","PRE_PARENT_HIPIC_129","PRE_PARENT_HIPIC_130","PRE_PARENT_HIPIC_131","PRE_PARENT_HIPIC_132","PRE_PARENT_HIPIC_133","PRE_PARENT_HIPIC_134","PRE_PARENT_HIPIC_135","PRE_PARENT_HIPIC_136","PRE_PARENT_HIPIC_137","PRE_PARENT_HIPIC_138","PRE_PARENT_HIPIC_139","PRE_PARENT_HIPIC_140","PRE_PARENT_HIPIC_141","PRE_PARENT_HIPIC_142","PRE_PARENT_HIPIC_143","PRE_PARENT_HIPIC_144"
"PRE_PARENT_HIPIC_10",0.07,0.45,-0.14,0.36,0.37,-0.31,-0.22,-0.08,-0.29,0.4,1,-0.53,-0.47,0.38,0.43,0.72,0.5,0.11,0.26,0.17,0.27,0.16,0.17,-0.01,0.04,0.11,0.25,0.16,0.13,0,0.07,0.17,0.1,0.23,0.01,0.18,0.06,0.03,0.03,0.08,0.07,0.06,0.07,0.08,0.14,0.03,0.1,0.1,0.14,-0.03,-0.09,-0.12,0.01,0.01,0,0.08,0.2,-0.19,0.24,0.13,0.24,0.17,0.22,-0.22,0.2,0.08,0.18,0.24,0.25,0.27,0.25,0.23,0.2,0.04,-0.07,-0.1,-0.02,-0.04,-0.11,0.01,-0.01,0.01,-0.01,0.04,0,-0.1,0.02,-0.1,-0.09,-0.09,-0.08,0.06,-0.05,0.06,-0.09,0.01,0.09,0.07,0.02,0.06,-0.11,0.02,0.09,-0.08,0.03,0.12,-0.03,0.18,0.11,0.02,-0.08,-0.03,0.21,-0.02,-0.04,0.14,-0.04,0.1,0.01,0.04,0.26,-0.14,0.14,-0.09,0.18,0.07,0.15,0.18,0.23,0.1,0.22,0.12,0.09,0.04,0.04,0.01,0.07,0.03,0.33,-0.08,0.08,0.02,-0.02,-0.05,0.46
"PRE_PARENT_HIPIC_11",-0.01,-0.41,0.13,-0.27,-0.24,0.28,0.2,0.01,0.19,-0.36,-0.53,1,0.54,-0.37,-0.18,-0.43,-0.32,-0.04,-0.06,-0.06,-0.12,0.05,-0.05,0.1,0.13,-0.06,-0.1,-0.1,-0.12,0.13,-0.09,-0.12,-0.11,-0.14,0,-0.11,-0.01,-0.06,0.04,0.01,-0.09,-0.01,0.03,0.01,-0.03,0.02,-0.02,0.01,-0.03,0.05,0.02,0.05,0,0.06,0.02,0.02,-0.01,0.18,-0.19,0,-0.11,0.01,-0.14,0.15,-0.12,0.04,-0.17,-0.23,-0.2,-0.28,-0.17,-0.12,-0.13,0,0.03,0.11,0.03,0.06,0.08,0.07,-0.08,0.04,0.09,0.02,0.05,0.19,0,0.03,0.06,0.06,-0.01,-0.01,0.07,-0.12,0.04,0.06,0,0.08,0.12,0.09,0.06,0.04,-0.01,0.04,0.03,0.03,0.15,-0.11,-0.06,0.08,0.05,-0.01,-0.03,-0.07,0.03,-0.07,0.08,-0.07,0.06,0.06,-0.08,0.21,-0.14,0.17,-0.11,0,-0.13,-0.17,-0.16,-0.15,-0.24,-0.1,-0.09,-0.09,-0.13,-0.13,-0.12,0.02,-0.18,0.04,-0.16,0.03,0.1,-0.06,-0.29
"PRE_PARENT_HIPIC_12",-0.02,-0.43,0.19,-0.11,-0.3,0.38,0.3,0.15,0.28,-0.41,-0.47,0.54,1,-0.38,-0.24,-0.31,-0.42,-0.11,-0.1,-0.12,-0.16,-0.09,-0.14,0.19,0.03,-0.11,-0.25,-0.2,-0.15,0.09,-0.04,-0.25,-0.15,-0.19,0.06,-0.06,0.04,0.05,0.17,-0.02,0.03,0.01,0.04,0.01,-0.01,0.01,0.04,0.03,-0.02,0.16,0.08,0.1,0.02,-0.01,0.01,0.01,0,0.28,-0.12,-0.01,-0.09,-0.03,-0.15,0.19,-0.17,-0.02,-0.26,-0.19,-0.18,-0.14,-0.12,-0.12,-0.12,-0.03,0.04,0.08,-0.01,0,0.07,-0.02,-0.05,0.03,0.12,-0.09,-0.02,0.03,0.14,0.1,0.09,0.14,0.07,0.08,0.01,-0.07,0.08,0.04,0.01,0.07,0.12,0.07,0.01,0.05,0.12,0.06,0,-0.06,0.01,-0.17,-0.06,-0.01,0.03,0.11,-0.06,-0.12,0.05,-0.14,0.01,-0.09,0,0.02,-0.14,0.27,-0.16,0.23,-0.17,-0.15,-0.18,-0.29,-0.28,-0.17,-0.3,-0.24,-0.18,-0.16,-0.29,-0.1,-0.2,-0.16,-0.22,0.18,-0.17,-0.11,-0.1,0.11,-0.36
"PRE_PARENT_HIPIC_13",-0.09,0.42,-0.09,0.19,0.27,-0.27,-0.19,0.17,-0.27,0.39,0.38,-0.37,-0.38,1,0.33,0.4,0.57,0.32,0.13,0.18,0.27,0.21,0.18,-0.01,-0.01,0.4,0.39,0.46,0.39,-0.03,0.38,0.22,0.18,0.22,-0.11,0.15,0.28,0.2,0.13,0.04,0.23,0.08,0.26,0.27,0.26,-0.13,0.18,0.2,0.29,-0.17,-0.19,-0.2,-0.01,0.2,-0.13,0.13,0.26,-0.2,0.42,0.27,0.41,0.24,0.29,-0.19,0.28,-0.11,0.07,0.09,0.19,0.11,0.06,0.08,0.02,0.19,0.05,0.09,0.06,0.1,-0.02,0.11,0.02,0.16,-0.08,0.2,0.19,-0.03,-0.01,-0.05,-0.13,-0.17,-0.08,0.24,-0.08,-0.04,-0.11,0.09,0.25,0.09,0.08,0.09,-0.08,0.02,0.07,0.01,0.09,0.09,-0.02,0.18,0.22,0.11,0.06,0.01,0.17,0.04,-0.02,0.26,-0.07,0.27,-0.04,0.13,0.19,-0.03,0.09,-0.06,-0.01,0.05,0.08,0.12,0.14,0.32,0.35,0.21,0.17,0.1,0.18,0.11,0.1,-0.02,0.24,-0.11,0.19,0.09,0.11,0.05,0.39
"PRE_PARENT_HIPIC_14",-0.07,0.33,0.03,0.25,0.22,-0.18,-0.1,-0.03,-0.02,0.2,0.43,-0.18,-0.24,0.33,1,0.48,0.31,0.29,0.23,0.2,0.15,0.24,0.2,-0.03,0.02,0.23,0.26,0.2,0.17,0.09,0.1,0.16,0.14,0.15,-0.02,0.08,0.02,0,-0.01,0.08,-0.03,-0.03,0.11,0.06,0.1,-0.08,-0.01,0.04,0.06,0.02,-0.06,-0.03,-0.01,0.02,0.06,0.08,0.18,-0.22,0.14,0.1,0.14,0.1,0.07,-0.15,0.1,0.11,0.18,0.23,0.11,0.12,0.14,0.11,0.14,0.11,0.05,0.01,-0.04,0.07,0.01,-0.01,-0.12,0.06,0.11,0,0.08,-0.07,0.1,-0.11,-0.01,0.08,0.01,-0.09,-0.04,0.07,-0.05,-0.1,0.04,0.03,0.02,0.01,-0.09,-0.05,0.09,-0.09,0.01,0.06,-0.02,0.04,0.12,0.01,-0.11,-0.1,0.02,0.02,-0.06,0.14,-0.09,0.16,0,0.18,0.25,-0.1,0.14,-0.13,0.12,0.08,0.08,0.2,0.19,0.09,0.23,0.15,0.06,-0.03,0.09,0.12,0.08,0.02,0.31,-0.08,0.15,0.15,0.11,-0.07,0.33
"PRE_PARENT_HIPIC_15",0.03,0.35,-0.09,0.37,0.29,-0.24,-0.16,-0.1,-0.14,0.25,0.72,-0.43,-0.31,0.4,0.48,1,0.42,0.22,0.3,0.24,0.33,0.19,0.27,0.01,0.11,0.17,0.19,0.17,0.12,0.06,0.11,0.19,0.19,0.27,0.01,0.09,0.09,-0.03,-0.05,0.12,0.06,0.07,0.15,0.12,0.16,0.01,0.08,0.07,0.13,0.01,-0.06,-0.07,-0.02,-0.03,0.02,0.05,0.21,-0.19,0.28,0.21,0.25,0.18,0.2,-0.15,0.12,0.13,0.25,0.3,0.25,0.28,0.32,0.27,0.3,0.04,-0.02,-0.04,-0.02,0.01,-0.01,-0.02,-0.02,0.01,0,0,-0.03,-0.13,0.06,-0.09,-0.06,-0.04,-0.03,0.11,-0.02,-0.04,0.04,0.09,0.13,0.06,0.01,0.03,-0.03,0.02,0.19,0,-0.01,0.09,-0.05,0.09,0.09,0.02,-0.02,0.04,0.11,-0.02,-0.02,0.13,-0.08,0.15,-0.04,0.1,0.22,-0.09,0.09,-0.06,0.15,0.05,0.09,0.14,0.16,0.13,0.21,0.15,0.08,-0.01,0.03,0.02,0.06,-0.04,0.4,-0.01,0.12,0.03,0.01,0.06,0.47
"PRE_PARENT_HIPIC_16",-0.04,0.42,-0.07,0.31,0.3,-0.2,-0.11,0.17,-0.25,0.48,0.5,-0.32,-0.42,0.57,0.31,0.42,1,0.27,0.17,0.19,0.26,0.17,0.27,-0.05,0.04,0.27,0.45,0.37,0.29,0.03,0.19,0.31,0.34,0.2,-0.13,0.26,0.42,0.29,0.26,0.03,0.29,0.16,0.31,0.3,0.33,-0.09,0.28,0.28,0.38,-0.2,-0.27,-0.3,-0.11,0.32,-0.24,0.2,0.3,-0.24,0.43,0.38,0.49,0.38,0.35,-0.19,0.47,-0.01,0.1,0.1,0.14,0.21,0.08,0.01,0.02,0.12,-0.02,0,-0.03,0.01,-0.07,0.08,0.06,0.13,-0.07,0.23,0.26,0.04,-0.11,-0.14,-0.18,-0.21,-0.08,0.03,-0.23,-0.08,-0.24,0.03,0.2,0.1,0.11,0.18,-0.09,0.04,0.08,-0.05,0.05,0.09,0.05,0.18,0.2,0.14,0.02,0.09,0.23,-0.02,0,0.13,0,0.29,0.02,0.08,0.19,-0.12,0.2,-0.11,0.09,0.16,0.14,0.21,0.2,0.06,0.17,0.2,0.04,-0.05,0.1,0,0.06,-0.02,0.19,-0.03,0.05,-0.02,-0.03,0.09,0.32
"PRE_PARENT_HIPIC_17",-0.1,0.18,-0.22,0.16,0.17,-0.08,-0.07,-0.09,-0.09,0.15,0.11,-0.04,-0.11,0.32,0.29,0.22,0.27,1,0.34,0.53,0.48,0.51,0.45,0.17,0.2,0.36,0.46,0.39,0.22,-0.1,0.26,0.31,0.22,0.09,0.1,0.01,0.03,0.02,-0.09,0.22,-0.05,-0.07,0.06,0.04,0.07,0.08,-0.06,-0.06,-0.02,0.1,0.04,0.16,0.02,-0.02,0.12,0.08,0.15,-0.04,0.14,0.16,0.19,0.05,0.18,-0.02,0.13,0.19,0.18,0.23,0.24,0.21,0.21,0.28,0.21,0.12,0.13,0.17,0.1,0.13,0.08,0.2,-0.13,0.09,0.15,0.11,0.12,-0.03,0.1,0.04,0.06,-0.03,0.04,0.04,0.04,0.01,-0.03,0.08,0.14,-0.02,0.03,-0.02,0.06,0.08,0.15,0.07,0.04,-0.03,0.01,0,0.05,0.05,0.04,-0.22,0.05,0.1,-0.05,0.22,-0.17,0.27,-0.06,0.28,0.08,-0.01,0.1,-0.06,0.09,0.01,0.03,0.06,0.09,0.09,0.13,0.25,0.17,0.06,0.18,0.12,0.07,0.04,0.17,0.01,0.13,0.09,0.13,0.01,0.22
"PRE_PARENT_HIPIC_18",0.06,0.13,-0.09,0.19,0.2,-0.04,0.01,-0.1,0.02,0.06,0.26,-0.06,-0.1,0.13,0.23,0.3,0.17,0.34,1,0.37,0.24,0.23,0.27,0.07,0.21,0.12,0.11,0.07,0.04,0.16,0.09,0.16,0.22,0.08,0.14,0.01,0.02,0,-0.09,0.22,0.01,0.01,0.04,0.06,0.12,0.14,0.07,0.06,0.07,0.09,0.14,0.05,0.05,0.07,0.15,0.05,0.13,0.02,0.03,0.03,0.03,0.03,0.05,0.02,0.02,0.12,0.12,0.19,0.22,0.23,0.29,0.25,0.26,0.16,0.07,0.07,0.16,0.13,0.11,0.14,-0.06,-0.03,0.1,-0.03,0,-0.08,0.02,0.03,-0.05,0.02,0.1,0.04,0.1,-0.02,0.16,0.11,0.15,0.05,0.04,-0.04,0.07,0.07,0.07,0.03,0.07,0.19,0.13,0.09,0.2,0.15,0.12,0.01,0.09,-0.1,0.14,0.05,0.03,0.11,0.06,0.07,0.06,-0.03,0.02,-0.01,0,-0.1,0.04,0.04,0.06,0.04,0.06,0.15,0.07,0.03,0.06,-0.04,0.17,0.08,0.22,-0.02,0.03,0.07,0.1,-0.04,0.25
"PRE_PARENT_HIPIC_19",-0.11,0.17,-0.2,0.24,0.18,-0.17,-0.17,-0.2,0,0.02,0.17,-0.06,-0.12,0.18,0.2,0.24,0.19,0.53,0.37,1,0.48,0.53,0.29,0.19,0.26,0.17,0.37,0.23,0.03,-0.06,0.04,0.13,0.15,-0.03,0.23,-0.04,-0.13,-0.19,-0.12,0.32,-0.09,-0.17,-0.14,-0.16,-0.12,0.12,-0.23,-0.24,-0.17,0.27,0.19,0.3,0.16,-0.18,0.27,-0.16,0.02,-0.05,0,0.03,-0.03,-0.12,0.04,0.06,-0.06,0.25,0.24,0.35,0.4,0.38,0.42,0.42,0.4,0.1,0.22,0.1,0.04,0.2,0.15,0.15,-0.19,-0.13,0.19,-0.14,-0.15,-0.21,0.14,0.16,0.07,0.12,-0.03,-0.06,0.2,-0.02,0.03,0.03,0.04,-0.14,-0.17,-0.26,0.19,0.02,0.18,0.17,-0.07,-0.07,-0.07,-0.02,0.02,-0.12,0,-0.32,-0.07,0.1,-0.17,0.28,-0.15,0.21,-0.09,0.26,0.13,-0.02,0.02,0,0.07,-0.01,0.05,0.05,0.11,0.04,0.07,0.23,0.21,0.08,0.14,0.05,0.06,0.05,0.21,0.06,0.09,0.13,0.16,-0.02,0.2
"PRE_PARENT_HIPIC_20",-0.06,0.2,-0.28,0.24,0.28,-0.1,-0.2,-0.15,-0.18,0.14,0.27,-0.12,-0.16,0.27,0.15,0.33,0.26,0.48,0.24,0.48,1,0.54,0.57,0.16,0.45,0.21,0.37,0.29,0.12,-0.06,0.13,0.18,0.13,0.16,0.16,-0.11,-0.03,-0.14,-0.17,0.12,0.04,-0.03,-0.05,0.07,0.08,0.02,-0.09,-0.06,0,0.18,0.04,0.19,0.13,-0.06,0.1,-0.01,0.13,-0.21,0.12,0.12,0.15,0.05,0.18,-0.02,0.1,0.16,0.27,0.34,0.42,0.38,0.44,0.46,0.36,0.07,0.19,0.12,0.12,0.16,0.12,0.2,-0.05,-0.09,0.09,0,-0.13,-0.14,0.15,0.05,0,-0.02,0.08,0.04,0.16,0.06,0.05,0.04,0.04,-0.15,-0.09,-0.15,0.12,0.02,0.17,0.08,0.02,0.02,0.03,0.11,0.02,-0.05,0.03,-0.11,0.05,0.07,-0.09,0.23,-0.13,0.21,-0.05,0.24,0.12,-0.06,0.08,0.03,0.1,0.11,0.1,0.14,0.22,0.04,0.02,0.16,0.13,0.01,0.14,0.15,0.08,0.06,0.16,0.05,0.2,0.06,0.05,0.08,0.28
"PRE_PARENT_HIPIC_21",-0.08,0.09,-0.14,0.17,0.16,-0.16,-0.22,-0.16,-0.06,0.01,0.16,0.05,-0.09,0.21,0.24,0.19,0.17,0.51,0.23,0.53,0.54,1,0.44,0.27,0.4,0.3,0.46,0.28,0.13,-0.09,0.15,0.27,0.15,0.06,0.22,-0.1,-0.09,-0.14,-0.13,0.16,-0.18,-0.14,-0.09,-0.1,-0.03,0.07,-0.19,-0.16,-0.16,0.2,0.11,0.23,0.1,-0.1,0.21,0.02,0.11,-0.06,-0.04,-0.07,0.05,0,0.05,0.02,-0.04,0.19,0.17,0.28,0.3,0.28,0.31,0.31,0.19,0.08,0.27,0.19,0.06,0.12,0.18,0.17,-0.17,-0.05,0.07,0.04,-0.13,-0.14,0.02,0.1,0.05,0.03,0.01,-0.04,0.19,-0.02,0.08,0.1,0.14,-0.04,-0.01,-0.14,0.15,-0.06,0.13,0.14,-0.09,-0.01,-0.04,-0.03,-0.02,-0.08,-0.07,-0.4,-0.08,0.05,-0.24,0.35,-0.25,0.21,-0.18,0.39,0.22,0.03,0.17,-0.06,0.14,0.06,0.05,0.08,0.17,0,0.08,0.3,0.27,0.14,0.16,0.07,0.11,0.08,0.24,0,0.14,0.09,0.14,-0.07,0.28
"PRE_PARENT_HIPIC_22",-0.05,0.17,-0.19,0.19,0.26,-0.08,-0.18,-0.2,-0.09,0.04,0.17,-0.05,-0.14,0.18,0.2,0.27,0.27,0.45,0.27,0.29,0.57,0.44,1,0.2,0.44,0.29,0.37,0.32,0.17,-0.04,0.16,0.22,0.09,0.09,0.08,0.02,0.04,-0.06,-0.12,0.21,-0.01,-0.06,0.08,0.16,0.1,0.14,-0.03,-0.01,0.05,0.02,0.02,0.1,0.01,-0.02,0.1,0.01,0.21,-0.15,0.15,0.09,0.12,0.06,0.14,-0.04,0.12,0.12,0.24,0.18,0.15,0.21,0.21,0.17,0.18,0.03,0,0,0.04,0.04,-0.01,0.02,-0.12,0,0.07,0.07,-0.02,-0.08,-0.02,-0.12,-0.09,-0.04,0.1,0.02,-0.03,-0.03,0.04,0.06,0.06,-0.05,0.05,-0.05,0.06,-0.03,0.09,0.06,0.04,-0.03,0,-0.01,-0.02,-0.03,-0.02,-0.15,-0.05,-0.04,-0.09,0.19,-0.05,0.25,0.01,0.27,0.17,-0.09,0.31,-0.09,0.08,0.05,0.15,0.13,0.24,-0.01,-0.04,0.18,0.08,-0.02,0.12,0.13,0.09,0.06,0.23,-0.01,0.18,0.14,0.1,-0.02,0.3
"PRE_PARENT_HIPIC_23",-0.08,-0.02,-0.04,0.11,0.09,0.07,-0.08,0.07,-0.05,0,-0.01,0.1,0.19,-0.01,-0.03,0.01,-0.05,0.17,0.07,0.19,0.16,0.27,0.2,1,0.22,-0.04,0.13,-0.01,-0.01,0.07,-0.1,0.06,0.03,-0.02,0.1,0.02,-0.05,0.05,0.06,0.13,-0.05,-0.12,-0.06,-0.06,-0.05,0.14,-0.13,-0.13,-0.15,0.1,0.08,0.08,0.03,0.02,0.13,-0.04,0.12,0.06,0.04,-0.01,0.03,0.07,0.02,-0.01,0.03,0.09,0.01,-0.04,0.1,0,0.06,0.11,0.04,0.03,0.19,0.14,0.03,0.08,0.13,0.05,-0.08,0,0.09,0.13,0.04,-0.07,0.08,0.04,0.06,0.13,0.16,0.03,0.09,0.08,0.04,0.15,-0.01,-0.04,0.04,-0.05,0.17,-0.07,0.16,0.13,-0.05,-0.23,-0.15,-0.13,-0.06,-0.07,-0.04,-0.07,-0.11,0.04,-0.09,0.17,-0.12,0.23,-0.09,0.28,0.07,0.03,0.09,0.02,0.12,0.07,0.08,0,0.09,-0.04,-0.01,0.05,0.1,0.04,0.09,-0.01,0.1,0.1,0.1,0.15,0.04,0.02,-0.01,0.05,0.01
"PRE_PARENT_HIPIC_24",-0.08,-0.04,-0.27,0.05,0.06,-0.03,-0.01,-0.29,0.08,-0.17,0.04,0.13,0.03,-0.01,0.02,0.11,0.04,0.2,0.21,0.26,0.45,0.4,0.44,0.22,1,0.11,0.19,0.13,-0.06,-0.04,-0.07,0.02,-0.06,0.04,0.18,-0.13,-0.06,-0.14,-0.08,0.09,-0.21,-0.16,-0.22,-0.12,-0.06,0.13,-0.14,-0.15,-0.09,0.21,0.21,0.33,0.19,-0.2,0.2,-0.01,-0.07,-0.01,-0.15,-0.11,-0.07,-0.07,-0.12,0.01,-0.11,0.14,-0.01,0,0.13,0.08,0.18,0.13,0.18,-0.08,0.1,0.07,0.12,0.11,0.12,0.08,-0.15,-0.13,0.1,-0.08,-0.16,-0.16,0.1,0.03,-0.01,0.07,0,-0.07,0.15,-0.02,0.14,-0.09,0.04,-0.11,-0.02,-0.12,0,-0.07,0.07,-0.04,0.04,0.06,0.09,-0.02,0.01,0.09,0.12,-0.15,0.01,0.02,-0.17,0.04,-0.03,0.02,0.01,0.14,0.09,-0.02,0.14,0,0.04,0,-0.02,0.03,0.04,0.02,-0.08,0.06,0.08,0.04,0.03,0.15,0,0.01,0.04,0.06,0.2,-0.01,-0.02,0.09,0.05
"PRE_PARENT_HIPIC_25",0.03,0.2,-0.04,0.06,0.11,-0.12,0.03,0.07,-0.09,0,0.11,-0.06,-0.11,0.4,0.23,0.17,0.27,0.36,0.12,0.17,0.21,0.3,0.29,-0.04,0.11,1,0.54,0.8,0.6,-0.23,0.71,0.38,0.28,0.23,0.06,0.02,0.18,0.08,0.12,0.04,0.17,0.17,0.26,0.33,0.36,-0.07,0.13,0.19,0.28,-0.09,-0.26,-0.08,-0.07,0.23,-0.03,0.15,0.29,-0.11,0.28,0.24,0.23,0.22,0.29,-0.12,0.21,0.07,0.08,0.11,0.18,0.16,0.12,0.11,0.05,0.2,0.11,0.13,0.1,0.13,0.04,0.09,0.02,0.15,-0.09,0.29,0.2,0,0.02,0,-0.08,-0.22,-0.12,0.11,-0.05,-0.15,-0.02,0.21,0.32,0.03,0.01,0.04,0.05,-0.1,-0.02,0.1,-0.02,0.16,0.06,0.11,0.22,0.07,0.03,-0.06,0.07,0.01,-0.1,0.19,0.06,0.19,0.04,0.12,0.11,0.07,0.19,0.03,0.04,0.02,0.14,0.11,0.14,0.15,0.16,0.27,0.21,0.16,0.26,0.28,0.18,0.16,0.26,0.04,0.14,0.16,0.2,-0.1,0.32
"PRE_PARENT_HIPIC_26",-0.11,0.35,-0.15,0.15,0.22,-0.19,-0.12,-0.05,-0.17,0.15,0.25,-0.1,-0.25,0.39,0.26,0.19,0.45,0.46,0.11,0.37,0.37,0.46,0.37,0.13,0.19,0.54,1,0.62,0.43,-0.16,0.33,0.38,0.26,0.11,0.08,0.05,0.12,0.03,0.06,0.17,0.01,0.02,0.03,0.12,0.19,-0.04,-0.01,0.08,0.11,-0.05,-0.18,-0.02,-0.03,0.12,0.03,0.06,0.33,-0.27,0.21,0.15,0.24,0.25,0.26,-0.1,0.22,0.11,0.16,0.14,0.29,0.22,0.19,0.23,0.18,0.18,0.22,0.19,0.1,0.22,0.08,0.2,-0.07,0.02,-0.01,0.19,0.05,-0.09,-0.02,0.09,-0.01,-0.15,0,-0.01,0.09,0.05,-0.06,0.06,0.18,-0.03,-0.02,-0.08,0.17,-0.16,0.06,0.15,-0.07,0.02,0.07,0.04,0.1,0.02,0.02,-0.18,0.11,0.03,-0.15,0.33,-0.11,0.38,-0.07,0.22,0.24,0.05,0.24,-0.01,0.13,0.05,0.17,0.21,0.27,0.12,0.19,0.34,0.22,0.2,0.3,0.15,0.14,0.19,0.37,0,0.12,0.16,0.17,-0.01,0.36
"PRE_PARENT_HIPIC_27",0.03,0.21,-0.04,0.05,0.17,-0.17,-0.01,0.03,-0.15,0.11,0.16,-0.1,-0.2,0.46,0.2,0.17,0.37,0.39,0.07,0.23,0.29,0.28,0.32,-0.01,0.13,0.8,0.62,1,0.59,-0.3,0.6,0.38,0.22,0.17,0.01,0,0.18,0.04,0.03,0.07,0.14,0.1,0.16,0.27,0.33,-0.09,0.12,0.17,0.26,-0.1,-0.21,-0.06,0.05,0.13,-0.02,0.05,0.25,-0.12,0.27,0.25,0.28,0.21,0.3,-0.07,0.23,0.1,0.1,0.04,0.18,0.1,0.09,0.13,0.1,0.17,0.11,0.1,0.09,0.09,-0.05,0.06,0.02,0.04,-0.07,0.23,0.16,-0.13,0.03,-0.01,-0.07,-0.24,-0.12,0.07,-0.03,-0.12,-0.09,0.09,0.24,-0.08,-0.05,0,0.05,-0.17,-0.04,0.09,-0.06,0.04,0.02,0.09,0.15,0.05,0,-0.11,-0.01,0.06,-0.11,0.19,0,0.27,-0.01,0.08,0.14,-0.04,0.16,-0.03,0.01,0.04,0.13,0.14,0.13,0.17,0.2,0.32,0.18,0.13,0.27,0.27,0.13,0.11,0.3,0.05,0.19,0.1,0.15,-0.01,0.35
